date,brand,product_type,skin_type,hair_type,country,sales_channel,units_sold,unit_price_usd,cost_usd,discount_pct,marketing_spend_usd,on_promotion,customer_rating,returns_units,stock_level,revenue_usd,profit_usd
2022-01-01,TRESemmé,Body Wash,Sensitive,Wavy,Mexico,Wholesale,753,14.73,1.32,11.2,3181.13,0,3.66,61,17220,11091.69,6916.6
2022-01-02,Rexona,Body Wash,Oily,Straight,Mexico,Supermarket,4571,2.8,5.14,20.72,3691.47,0,4.56,125,15399,12798.8,-14387.61
2022-01-03,Sedal,Hair Mask,Normal,Wavy,Argentina,Wholesale,1426,9.75,8.63,6.55,5723.17,0,3.99,111,23384,13903.5,-4126.05
2022-01-04,Sedal,Deodorant,Sensitive,Curly,Mexico,Supermarket,3479,17.66,6.27,15.07,859.13,1,3.54,148,24040,61439.14,38766.68
2022-01-05,TRESemmé,Shampoo,Dry,Coily,Chile,Pharmacy,5630,5.29,8.72,9.72,4741.23,0,3.41,91,7039,29782.7,-24052.13
2022-01-06,Rexona,Deodorant,Normal,Straight,Chile,Supermarket,2603,2.7,1.39,0.72,5561.41,1,4.92,68,13881,7028.1,-2151.48
2022-01-07,Dove,Body Wash,Normal,Wavy,Colombia,Supermarket,2854,10.62,1.98,19.98,6098.6,0,3.84,86,1798,30309.48,18559.96
2022-01-08,Rexona,Face Cream,Combination,Wavy,Colombia,Online,5972,4.82,8.67,8.26,2312.24,1,4.35,93,14844,28785.04,-25304.44
2022-01-09,Lux,Deodorant,Normal,Coily,Mexico,Online,5801,6.36,1.31,21.81,3482.16,0,4.73,46,10855,36894.36,25812.89
2022-01-10,Lux,Conditioner,Sensitive,Straight,Mexico,Supermarket,2468,17.65,5.75,21.16,1565.01,0,3.37,92,3861,43560.2,27804.19
2022-01-11,Dove,Shampoo,Combination,Coily,Brazil,Online,4458,14.6,7.38,13.29,867.34,1,4.14,86,3232,65086.8,31319.42
2022-01-12,TRESemmé,Shampoo,Dry,Wavy,Brazil,Online,1530,17.0,6.22,1.68,263.72,0,4.59,39,23389,26010.0,16229.68
2022-01-13,Dove,Face Cream,Oily,Coily,Colombia,Wholesale,1361,9.12,6.65,30.11,4108.03,1,4.11,25,6716,12412.32,-746.36
2022-01-14,TRESemmé,Face Cream,Sensitive,Curly,Brazil,Wholesale,2305,6.44,5.41,25.81,1424.34,1,4.68,87,2651,14844.2,949.81
2022-01-15,Dove,Hair Mask,Dry,Curly,Chile,Online,800,9.56,2.68,34.65,2481.19,0,4.13,73,17569,7648.0,3022.81
2022-01-16,Sedal,Deodorant,Combination,Wavy,Argentina,Online,3093,6.47,2.8,21.69,3799.01,0,4.67,0,10817,20011.71,7552.3
2022-01-17,Lux,Face Cream,Combination,Wavy,Argentina,Wholesale,2129,6.6,1.57,14.03,4994.83,0,3.79,132,983,14051.4,5714.04
2022-01-18,Sedal,Body Wash,Normal,Curly,Colombia,Pharmacy,5384,16.34,2.71,28.5,557.69,1,4.09,18,22259,87974.56,72826.23
2022-01-19,TRESemmé,Face Cream,Sensitive,Coily,Chile,Online,5058,10.84,3.04,24.96,4338.13,0,4.55,52,23581,54828.72,35114.27
2022-01-20,TRESemmé,Shampoo,Combination,Wavy,Colombia,Online,4128,9.98,2.39,3.47,3426.34,1,4.16,82,23701,41197.44,27905.18
2022-01-21,Axe,Hair Mask,Sensitive,Straight,Chile,Pharmacy,4401,9.27,5.77,15.45,4275.33,1,3.48,86,23163,40797.27,11128.17
2022-01-22,Dove,Face Cream,Dry,Coily,Argentina,Pharmacy,2033,12.24,9.04,28.38,5722.04,0,3.43,107,17396,24883.92,783.56
2022-01-23,Dove,Face Cream,Normal,Curly,Colombia,Wholesale,2843,9.6,1.75,3.83,6174.4,0,3.33,134,20646,27292.8,16143.15
2022-01-24,Axe,Deodorant,Oily,Coily,Chile,Pharmacy,630,13.89,6.69,6.88,4494.47,1,3.72,32,16618,8750.7,41.53
2022-01-25,Dove,Shampoo,Sensitive,Curly,Chile,Pharmacy,866,5.02,5.85,12.5,2148.99,0,4.07,28,3150,4347.32,-2867.77
2022-01-26,Sedal,Hair Mask,Combination,Curly,Argentina,Wholesale,4830,8.94,5.62,26.12,5327.7,1,3.38,30,13083,43180.2,10707.9
2022-01-27,Axe,Deodorant,Sensitive,Wavy,Colombia,Supermarket,2231,14.2,6.94,0.39,545.99,1,3.75,77,3096,31680.2,15651.07
2022-01-28,Dove,Body Wash,Dry,Coily,Argentina,Supermarket,2529,7.37,2.98,6.58,2381.49,1,4.02,138,19392,18638.73,8720.82
2022-01-29,Lux,Shampoo,Combination,Straight,Chile,Wholesale,2432,3.13,7.65,27.0,4167.45,1,4.69,99,10353,7612.16,-15160.09
2022-01-30,Dove,Conditioner,Sensitive,Coily,Chile,Wholesale,3050,17.72,2.93,24.17,3421.39,0,3.87,38,22856,54046.0,41688.11
2022-01-31,Rexona,Body Wash,Sensitive,Curly,Brazil,Supermarket,3115,13.72,8.24,30.53,5151.83,0,4.68,45,23382,42737.8,11918.37
2022-02-01,TRESemmé,Body Wash,Dry,Coily,Mexico,Supermarket,1063,14.29,9.15,34.91,2572.94,1,3.85,101,20612,15190.27,2890.88
2022-02-02,Rexona,Deodorant,Combination,Wavy,Chile,Online,2842,2.7,3.76,1.03,4881.69,0,4.12,21,8099,7673.4,-7894.21
2022-02-03,Sedal,Shampoo,Oily,Curly,Argentina,Online,3291,3.94,4.77,34.14,2309.15,0,4.44,117,23978,12966.54,-5040.68
2022-02-04,Sedal,Deodorant,Oily,Straight,Mexico,Wholesale,1286,11.69,9.06,27.88,4379.3,0,3.57,132,6679,15033.34,-997.12
2022-02-05,Dove,Conditioner,Dry,Wavy,Brazil,Supermarket,5832,3.23,1.4,21.79,2629.18,0,4.22,66,4954,18837.36,8043.38
2022-02-06,Sedal,Body Wash,Sensitive,Coily,Argentina,Online,4042,11.62,7.03,24.39,1295.68,0,4.04,35,9210,46968.04,17257.1
2022-02-07,Dove,Shampoo,Oily,Curly,Argentina,Pharmacy,124,13.81,4.89,33.43,1754.69,1,4.23,40,21513,1712.44,-648.61
2022-02-08,Rexona,Body Wash,Combination,Coily,Mexico,Supermarket,1247,8.45,7.46,1.23,2528.34,0,3.64,57,15455,10537.15,-1293.81
2022-02-09,Dove,Deodorant,Dry,Curly,Brazil,Pharmacy,353,12.11,1.25,18.33,1625.89,0,3.49,9,16522,4274.83,2207.69
2022-02-10,Dove,Conditioner,Dry,Curly,Colombia,Pharmacy,1006,7.26,8.11,12.82,2088.47,0,3.73,65,10322,7303.56,-2943.57
2022-02-11,Axe,Face Cream,Dry,Curly,Colombia,Wholesale,2766,7.35,6.41,21.41,2075.33,0,4.61,57,24315,20330.1,524.71
2022-02-12,TRESemmé,Deodorant,Dry,Wavy,Argentina,Pharmacy,3703,3.18,8.23,17.69,1268.79,0,3.23,89,10011,11775.54,-19968.94
2022-02-13,TRESemmé,Conditioner,Sensitive,Curly,Mexico,Supermarket,1016,11.44,8.1,3.77,5321.37,1,3.89,46,16864,11623.04,-1927.93
2022-02-14,TRESemmé,Deodorant,Combination,Curly,Brazil,Pharmacy,947,3.44,4.83,7.42,2316.48,0,3.8,87,903,3257.68,-3632.81
